node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel
95,98,0.000599999999999989,660914.748321795,666783.940176099,642194.950281667,733267.216002327,0.000599999999999989,0,2020.64697934423,2020.64757934423,116000000,NA
95,96,1.000000000001e-05,660914.748321795,666783.940176099,660916.219142209,666782.619074204,1.000000000001e-05,0,2020.64697934423,2020.64698934423,116000000,NA
96,1,0.04699972678,660916.219142209,666782.619074204,661409.942213114,657101.220328142,0.04700972678,1.000000000001e-05,2020.64698934423,2020.69398907101,116000000,SARS2-CoV/Belgium/Human/rega-0911945
96,97,0.03879,660916.219142209,666782.619074204,660812.227005988,666915.850951863,0.0388,1.000000000001e-05,2020.64698934423,2020.68577934423,116000000,NA
97,2,1.30054645300082e-05,660812.227005988,666915.850951863,660819.47993584,666904.631599276,0.03881300546453,0.0388,2020.68577934423,2020.6857923497,116000000,SARS2-CoV/Belgium/Human/rega-0801928
97,3,0.01913868852,660812.227005988,666915.850951863,661682.083063683,668360.178700843,0.05793868852,0.0388,2020.68577934423,2020.70491803275,116000000,SARS2-CoV/Belgium/Human/rega-0915952
98,99,0.02628,642194.950281667,733267.216002327,642178.487928572,733229.931932375,0.02688,0.000599999999999989,2020.64757934423,2020.67385934423,116000000,NA
98,109,0.0015,642194.950281667,733267.216002327,642164.492222191,733292.963566169,0.00209999999999999,0.000599999999999989,2020.64757934423,2020.64907934423,116000000,NA
99,101,0.02166,642178.487928572,733229.931932375,636011.500888605,737173.809016644,0.04854,0.02688,2020.67385934423,2020.69551934423,116000000,NA
99,100,0.03105,642178.487928572,733229.931932375,660183.607195467,745590.02190508,0.05793,0.02688,2020.67385934423,2020.70490934423,116000000,NA
100,5,0.02186661202,660183.607195467,745590.02190508,640635.731575694,721794.669407918,0.07979661202,0.05793,2020.70490934423,2020.72677595625,116000000,hCoV-19/Belgium/ULG-10492/2020|EPI_ISL_581654|2020-09-23|Europe
100,4,8.6885246420032e-06,660183.607195467,745590.02190508,660183.246378278,745590.744715997,0.057938688524642,0.05793,2020.70490934423,2020.70491803276,116000000,hCoV-19/Belgium/ULG-10729/2020|EPI_ISL_641571|2020-09-15|Europe
101,6,0.1214205464,636011.500888605,737173.809016644,636413.454240032,736965.495895413,0.1699605464,0.04854,2020.69551934423,2020.81693989063,116000000,hCoV-19/Belgium/ULG-10656/2020|EPI_ISL_636633|2020-10-26|Europe
101,102,0.00219,636011.500888605,737173.809016644,637430.31718919,734744.413164819,0.05073,0.04854,2020.69551934423,2020.69770934423,116000000,NA
102,104,0.00223999999999999,637430.31718919,734744.413164819,637467.008432237,734698.551638642,0.05297,0.05073,2020.69770934423,2020.69994934423,116000000,NA
102,103,0.10901,637430.31718919,734744.413164819,639829.20436969,709678.202957199,0.15974,0.05073,2020.69770934423,2020.80671934423,116000000,NA
103,7,0.01022054645,639829.20436969,709678.202957199,640634.924543891,710144.100585042,0.16996054645,0.15974,2020.80671934423,2020.81693989068,116000000,hCoV-19/Belgium/ULG-10705/2020|EPI_ISL_636677|2020-10-26|Europe
103,8,0.01022054645,639829.20436969,709678.202957199,639253.157432085,709769.240501965,0.16996054645,0.15974,2020.80671934423,2020.81693989068,116000000,hCoV-19/Belgium/ULG-10713/2020|EPI_ISL_636684|2020-10-26|Europe
104,105,0.08407,637467.008432237,734698.551638642,644742.909380802,735771.674060442,0.13704,0.05297,2020.69994934423,2020.78401934423,116000000,NA
104,107,0.01291403433,637467.008432237,734698.551638642,635709.744779456,732313.237989772,0.06588403433,0.05297,2020.69994934423,2020.71286337856,116000000,NA
105,9,0.02745606557,644742.909380802,735771.674060442,650304.879074063,723916.270481249,0.16449606557,0.13704,2020.78401934423,2020.8114754098,116000000,hCoV-19/Belgium/ULG-10649/2020|EPI_ISL_636627|2020-10-24|Europe
105,106,0.02271,644742.909380802,735771.674060442,644821.288202662,735712.274319332,0.15975,0.13704,2020.78401934423,2020.80672934423,116000000,NA
106,10,0.01021054645,644821.288202662,735712.274319332,644690.799078997,735862.137806647,0.16996054645,0.15975,2020.80672934423,2020.81693989068,116000000,hCoV-19/Belgium/ULG-10702/2020|EPI_ISL_636674|2020-10-26|Europe
106,11,0.00201382513699999,644821.288202662,735712.274319332,643577.273640493,717784.141036101,0.161763825137,0.15975,2020.80672934423,2020.80874316937,116000000,hCoV-19/Belgium/ULG-10507/2020|EPI_ISL_626256|2020-10-23|Europe
107,108,0.000555965667000002,635709.744779456,732313.237989772,635693.522171509,732338.054499773,0.066439999997,0.06588403433,2020.71286337856,2020.71341934423,116000000,NA
107,12,0.01118033725,635709.744779456,732313.237989772,639395.261506555,725415.152976137,0.07706437158,0.06588403433,2020.71286337856,2020.72404371581,116000000,hCoV-19/Belgium/ULG-10470/2020|EPI_ISL_581640|2020-09-22|Europe
108,14,0.00242765027299999,635693.522171509,732338.054499773,639702.352785583,751924.91081201,0.06886765027,0.066439999997,2020.71341934423,2020.7158469945,116000000,hCoV-19/Belgium/ULG-10754/2020|EPI_ISL_641596|2020-09-19|Europe
108,13,0.00242765027299999,635693.522171509,732338.054499773,657251.817044532,738279.516642292,0.06886765027,0.066439999997,2020.71341934423,2020.7158469945,116000000,hCoV-19/Belgium/ULG-10753/2020|EPI_ISL_641595|2020-09-19|Europe
109,152,0.00634000000000001,642164.492222191,733292.963566169,641772.387165493,721373.714987078,0.00844,0.00209999999999999,2020.64907934423,2020.65541934423,116000000,NA
109,110,0.04180963825,642164.492222191,733292.963566169,642142.555998236,733342.045397189,0.04390963825,0.00209999999999999,2020.64907934423,2020.69088898248,116000000,NA
