node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel
95,98,0.000599999999999989,660887.66705152,666987.129626306,644470.397301629,736220.070903602,0.000599999999999989,0,2020.64697934423,2020.64757934423,212000000,NA
95,96,1.000000000001e-05,660887.66705152,666987.129626306,660817.063601789,666871.122309488,1.000000000001e-05,0,2020.64697934423,2020.64698934423,212000000,NA
96,1,0.04699972678,660817.063601789,666871.122309488,661409.942213114,657101.220328142,0.04700972678,1.000000000001e-05,2020.64698934423,2020.69398907101,212000000,SARS2-CoV/Belgium/Human/rega-0911945
96,97,0.03879,660817.063601789,666871.122309488,660815.552448368,666899.716779017,0.0388,1.000000000001e-05,2020.64698934423,2020.68577934423,212000000,NA
97,2,1.30054645300082e-05,660815.552448368,666899.716779017,660819.47993584,666904.631599276,0.03881300546453,0.0388,2020.68577934423,2020.6857923497,212000000,SARS2-CoV/Belgium/Human/rega-0801928
97,3,0.01913868852,660815.552448368,666899.716779017,661682.083063683,668360.178700843,0.05793868852,0.0388,2020.68577934423,2020.70491803275,212000000,SARS2-CoV/Belgium/Human/rega-0915952
98,99,0.02628,644470.397301629,736220.070903602,644480.237819112,736160.266096683,0.02688,0.000599999999999989,2020.64757934423,2020.67385934423,212000000,NA
98,109,0.0015,644470.397301629,736220.070903602,644446.903928272,736209.178778873,0.00209999999999999,0.000599999999999989,2020.64757934423,2020.64907934423,212000000,NA
99,101,0.02166,644480.237819112,736160.266096683,644647.602930362,735999.728208517,0.04854,0.02688,2020.67385934423,2020.69551934423,212000000,NA
99,100,0.03105,644480.237819112,736160.266096683,660177.359449143,745581.321119881,0.05793,0.02688,2020.67385934423,2020.70490934423,212000000,NA
100,5,0.02186661202,660177.359449143,745581.321119881,640635.731575694,721794.669407918,0.07979661202,0.05793,2020.70490934423,2020.72677595625,212000000,hCoV-19/Belgium/ULG-10492/2020|EPI_ISL_581654|2020-09-23|Europe
100,4,8.6885246420032e-06,660177.359449143,745581.321119881,660183.246378278,745590.744715997,0.057938688524642,0.05793,2020.70490934423,2020.70491803276,212000000,hCoV-19/Belgium/ULG-10729/2020|EPI_ISL_641571|2020-09-15|Europe
101,6,0.1214205464,644647.602930362,735999.728208517,636413.454240032,736965.495895413,0.1699605464,0.04854,2020.69551934423,2020.81693989063,212000000,hCoV-19/Belgium/ULG-10656/2020|EPI_ISL_636633|2020-10-26|Europe
101,102,0.00219,644647.602930362,735999.728208517,644617.093142369,735963.3579217,0.05073,0.04854,2020.69551934423,2020.69770934423,212000000,NA
102,104,0.00223999999999999,644617.093142369,735963.3579217,644464.573090594,735813.10497318,0.05297,0.05073,2020.69770934423,2020.69994934423,212000000,NA
102,103,0.10901,644617.093142369,735963.3579217,639297.49905245,709656.055262168,0.15974,0.05073,2020.69770934423,2020.80671934423,212000000,NA
103,7,0.01022054645,639297.49905245,709656.055262168,640634.924543891,710144.100585042,0.16996054645,0.15974,2020.80671934423,2020.81693989068,212000000,hCoV-19/Belgium/ULG-10705/2020|EPI_ISL_636677|2020-10-26|Europe
103,8,0.01022054645,639297.49905245,709656.055262168,639253.157432085,709769.240501965,0.16996054645,0.15974,2020.80671934423,2020.81693989068,212000000,hCoV-19/Belgium/ULG-10713/2020|EPI_ISL_636684|2020-10-26|Europe
104,105,0.08407,644464.573090594,735813.10497318,644640.208633154,735862.435568359,0.13704,0.05297,2020.69994934423,2020.78401934423,212000000,NA
104,107,0.01291403433,644464.573090594,735813.10497318,644074.750239467,735097.594807244,0.06588403433,0.05297,2020.69994934423,2020.71286337856,212000000,NA
105,9,0.02745606557,644640.208633154,735862.435568359,650304.879074063,723916.270481249,0.16449606557,0.13704,2020.78401934423,2020.8114754098,212000000,hCoV-19/Belgium/ULG-10649/2020|EPI_ISL_636627|2020-10-24|Europe
105,106,0.02271,644640.208633154,735862.435568359,644683.114894163,735860.621445049,0.15975,0.13704,2020.78401934423,2020.80672934423,212000000,NA
106,10,0.01021054645,644683.114894163,735860.621445049,644690.799078997,735862.137806647,0.16996054645,0.15975,2020.80672934423,2020.81693989068,212000000,hCoV-19/Belgium/ULG-10702/2020|EPI_ISL_636674|2020-10-26|Europe
106,11,0.00201382513699999,644683.114894163,735860.621445049,643577.273640493,717784.141036101,0.161763825137,0.15975,2020.80672934423,2020.80874316937,212000000,hCoV-19/Belgium/ULG-10507/2020|EPI_ISL_626256|2020-10-23|Europe
107,108,0.000555965667000002,644074.750239467,735097.594807244,644088.256745209,735134.891614922,0.066439999997,0.06588403433,2020.71286337856,2020.71341934423,212000000,NA
107,12,0.01118033725,644074.750239467,735097.594807244,639395.261506555,725415.152976137,0.07706437158,0.06588403433,2020.71286337856,2020.72404371581,212000000,hCoV-19/Belgium/ULG-10470/2020|EPI_ISL_581640|2020-09-22|Europe
